Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	Flächenzähler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(m³/s)	Datum
11.72250302	48.37828644	HEINDLACKER	18/07/20-14:35:30	WEIZEN	1	0.278	281.2	1	442.55	2018-07-20	Ein	5.9	Nein	1.358	13.5	2.3	2977.7	2.3	2977.7	Eingang	0	4	1.001	0.59	0.00049	2018-07-20
11.7224963	48.37828732	HEINDLACKER	18/07/20-14:35:30	WEIZEN	2	0.389	272.6	1	442.52	2018-07-20	Ein	5.9	Nein	1.782	13.5	2.157	2793	2.157	2793	Eingang	-0.0012	4	1.4	0.826	0.00064	2018-07-20
11.72249053	48.37828749	HEINDLACKER	18/07/20-14:35:30	WEIZEN	3	0.417	282.5	1	442.51	2018-07-20	Ein	5.9	Nein	2.419	13.5	2.731	3536	2.731	3536	Eingang	-0.0011	4	1.501	0.886	0.00087	2018-07-20
11.72248437	48.37828839	HEINDLACKER	18/07/20-14:35:30	WEIZEN	4	0.417	289.1	1	442.51	2018-07-20	Ein	5.9	Nein	3.395	13.5	3.833	4962.9	3.833	4962.9	Eingang	-0.0014	4	1.501	0.886	0.0012	2018-07-20
11.72247785	48.37828989	HEINDLACKER	18/07/20-14:35:30	WEIZEN	5	0.417	288.1	1	442.52	2018-07-20	Ein	5.9	Nein	4.838	13.5	5.462	7072.1	5.462	7072.1	Eingang	-0.0011	4	1.501	0.886	0.0017	2018-07-20
11.72247134	48.37829127	HEINDLACKER	18/07/20-14:35:30	WEIZEN	6	0.389	274.5	1	442.54	2018-07-20	Ein	5.9	Nein	5.814	13.5	7.036	9110.7	7.036	9110.7	Eingang	-0.00037	4	1.4	0.826	0.0021	2018-07-20
11.72246521	48.37829153	HEINDLACKER	18/07/20-14:35:30	WEIZEN	7	0.361	250.3	1	442.62	2018-07-20	Ein	5.9	Nein	6.238	13.5	8.135	10534	8.135	10534	Eingang	-0.0012	4	1.3	0.767	0.0022	2018-07-20
11.72246073	48.37829047	HEINDLACKER	18/07/20-14:35:30	WEIZEN	8	0.306	249.9	1	442.73	2018-07-20	Ein	5.9	Nein	6.238	13.5	9.598	12427	9.598	12427	Eingang	-0.00092	4	1.102	0.65	0.0022	2018-07-20
11.72245469	48.37828899	HEINDLACKER	18/07/20-14:35:30	WEIZEN	9	0.417	247	1	442.78	2018-07-20	Ein	5.9	Nein	5.517	13.5	6.228	8064.7	6.228	8064.7	Eingang	-0.00032	4	1.501	0.886	0.002	2018-07-20
11.72244742	48.37828694	HEINDLACKER	18/07/20-14:35:30	WEIZEN	10	0.472	245.7	1	442.79	2018-07-20	Ein	5.9	Nein	4.795	13.5	4.783	6193.2	4.783	6193.2	Eingang	-0.0006	4	1.699	1.003	0.0017	2018-07-20
11.72244334	48.37828553	HEINDLACKER	18/07/20-14:35:30	WEIZEN	11	0.306	283.4	1	442.81	2018-07-20	Ein	5.9	Nein	4.413	13.5	6.79	8792.1	6.79	8792.1	Eingang	-0.00084	4	1.102	0.65	0.0016	2018-07-20
11.72244017	48.37828603	HEINDLACKER	18/07/20-14:35:30	WEIZEN	12	0.361	280.3	1	442.89	2018-07-20	Ein	5.9	Nein	5.517	13.5	7.195	9315.7	7.195	9315.7	Eingang	-0.00089	4	1.3	0.767	0.002	2018-07-20
11.72243618	48.37828649	HEINDLACKER	18/07/20-14:35:30	WEIZEN	13	0.361	267.3	1	443.01	2018-07-20	Ein	5.9	Nein	6.874	13.5	8.966	11609	8.966	11609	Eingang	-0.0011	4	1.3	0.767	0.0025	2018-07-20
11.72243006	48.3782863	HEINDLACKER	18/07/20-14:35:30	WEIZEN	14	0.361	266.2	1	442.63	2018-07-20	Ein	5.9	Nein	8.827	13.5	11.51	14905	11.51	14905	Eingang	-0.001	4	1.3	0.767	0.0032	2018-07-20
11.72242423	48.37828604	HEINDLACKER	18/07/20-14:35:30	WEIZEN	15	0.361	269.4	1	442.38	2018-07-20	Ein	5.9	Nein	8.699	13.5	11.35	14690	11.35	14690	Eingang	-0.00068	4	1.3	0.767	0.0031	2018-07-20
11.72241829	48.378286	HEINDLACKER	18/07/20-14:35:30	WEIZEN	16	0.333	263.8	1	442.24	2018-07-20	Ein	5.9	Nein	8.996	13.5	12.72	16469	12.72	16469	Eingang	-0.0013	4	1.199	0.707	0.0032	2018-07-20
11.72241244	48.37828556	HEINDLACKER	18/07/20-14:35:30	WEIZEN	17	0.361	254.5	1	442.17	2018-07-20	Ein	5.9	Nein	10.01	13.5	13.06	16912	13.06	16912	Eingang	-0.00055	4	1.3	0.767	0.0036	2018-07-20
11.72240769	48.37828468	HEINDLACKER	18/07/20-14:35:30	WEIZEN	18	0.361	250.3	1	442.13	2018-07-20	Ein	5.9	Nein	11.63	13.5	15.16	19635	15.16	19635	Eingang	-0.00078	4	1.3	0.767	0.0042	2018-07-20
11.72240304	48.37828357	HEINDLACKER	18/07/20-14:35:30	WEIZEN	19	0.361	245	1	442.1	2018-07-20	Ein	5.9	Nein	12.05	13.5	15.72	20351	15.72	20351	Eingang	-0.0008	4	1.3	0.767	0.0043	2018-07-20
11.72239888	48.37828229	HEINDLACKER	18/07/20-14:35:30	WEIZEN	20	0.417	245	1	442.11	2018-07-20	Ein	5.9	Nein	13.11	13.5	14.8	19169	14.8	19169	Eingang	-0.0011	4	1.501	0.886	0.0047	2018-07-20
11.72239212	48.37828019	HEINDLACKER	18/07/20-14:35:30	WEIZEN	21	0.5	241.6	1	442.12	2018-07-20	Ein	5.9	Nein	12.99	13.5	12.23	15832	12.23	15832	Eingang	-0.0003	4	1.8	1.062	0.0047	2018-07-20
11.7223832	48.37827689	HEINDLACKER	18/07/20-14:35:30	WEIZEN	22	0.583	228.2	1	442.12	2018-07-20	Ein	5.9	Nein	14.34	13.5	11.58	14998	11.58	14998	Eingang	-0.001	4	2.099	1.238	0.0052	2018-07-20
11.72237629	48.37827278	HEINDLACKER	18/07/20-14:35:30	WEIZEN	23	0.667	222	1	442.13	2018-07-20	Ein	5.9	Nein	14.51	13.5	10.24	13264	10.24	13264	Eingang	-0.00028	4	2.401	1.417	0.0052	2018-07-20
11.72236955	48.37826781	HEINDLACKER	18/07/20-14:35:30	WEIZEN	24	0.722	219.7	1	442.18	2018-07-20	Ein	5.9	Nein	15.87	13.5	10.35	13400	10.35	13400	Eingang	-0.00015	4	2.599	1.534	0.0057	2018-07-20
11.72236197	48.37826173	HEINDLACKER	18/07/20-14:35:30	WEIZEN	25	0.833	209.8	1	442.22	2018-07-20	Ein	5.9	Nein	16.8	13.5	9.498	12298	9.498	12298	Eingang	-0.0011	4	2.999	1.769	0.006	2018-07-20
11.72235645	48.3782553	HEINDLACKER	18/07/20-14:35:30	WEIZEN	26	0.833	203.4	1	442.24	2018-07-20	Ein	5.9	Nein	18.97	13.5	10.72	13882	10.72	13882	Eingang	-0.0002	4	2.999	1.769	0.0068	2018-07-20
11.72235117	48.3782472	HEINDLACKER	18/07/20-14:35:30	WEIZEN	27	0.889	201.4	1	442.28	2018-07-20	Ein	5.9	Nein	19.27	13.5	10.2	13211	10.2	13211	Eingang	-0.0008	4	3.2	1.888	0.0069	2018-07-20
11.72234602	48.37823842	HEINDLACKER	18/07/20-14:35:30	WEIZEN	28	1	193.6	1	442.31	2018-07-20	Ein	5.9	Nein	20.45	13.5	9.63	12469	9.63	12469	Eingang	-0.001	4	3.6	2.124	0.0074	2018-07-20
11.72234275	48.37822942	HEINDLACKER	18/07/20-14:35:30	WEIZEN	29	1	195.1	1	442.43	2018-07-20	Ein	5.9	Nein	22.58	3.2	10.63	13763	10.63	13763	Eingang	-0.00096	4	3.6	2.124	0.0081	2018-07-20
11.72233882	48.3782197	HEINDLACKER	18/07/20-14:35:30	WEIZEN	30	1.056	200.1	1	442.54	2018-07-20	Ein	5.9	Nein	22.99	4.3	10.25	13274	10.25	13274	Eingang	-0.00056	4	3.802	2.243	0.0083	2018-07-20
11.7223338	48.37821057	HEINDLACKER	18/07/20-14:35:30	WEIZEN	31	1.056	202.2	1	442.65	2018-07-20	Ein	5.9	Nein	22.74	5.6	10.14	13127	10.14	13127	Eingang	-0.00025	4	3.802	2.243	0.0082	2018-07-20
11.72232809	48.37820126	HEINDLACKER	18/07/20-14:35:30	WEIZEN	32	1.111	198.3	1	442.75	2018-07-20	Ein	5.9	Nein	23.64	6.9	10.02	12974	10.02	12974	Eingang	-0.00078	4	4	2.36	0.0085	2018-07-20
11.72232283	48.37819069	HEINDLACKER	18/07/20-14:35:30	WEIZEN	33	1.222	201.7	1	442.79	2018-07-20	Ein	5.9	Nein	23.07	8.2	8.889	11510	8.889	11510	Eingang	-0.00025	4	4.399	2.596	0.0083	2018-07-20
11.72231658	48.37818025	HEINDLACKER	18/07/20-14:35:30	WEIZEN	34	1.222	211.9	1	442.81	2018-07-20	Ein	5.9	Nein	23.18	9.4	8.931	11563	8.931	11563	Eingang	-0.00065	4	4.399	2.596	0.0083	2018-07-20
11.72230732	48.37817034	HEINDLACKER	18/07/20-14:35:30	WEIZEN	35	1.222	212.9	1	442.84	2018-07-20	Ein	5.9	Nein	22.24	10.6	8.569	11095	8.569	11095	Eingang	-0.001	4	4.399	2.596	0.008	2018-07-20
11.72229849	48.37816129	HEINDLACKER	18/07/20-14:35:30	WEIZEN	36	1.222	211.4	1	442.89	2018-07-20	Ein	5.9	Nein	22.99	11.8	8.858	11469	8.858	11469	Eingang	-0.00095	4	4.399	2.596	0.0083	2018-07-20
11.72228987	48.37815189	HEINDLACKER	18/07/20-14:35:30	WEIZEN	37	1.222	215	1	442.94	2018-07-20	Ein	5.9	Nein	23.71	12.6	9.135	11828	9.135	11828	Eingang	-0.00069	4	4.399	2.596	0.0085	2018-07-20
11.72228039	48.37814289	HEINDLACKER	18/07/20-14:35:30	WEIZEN	38	1.194	212.8	1	442.98	2018-07-20	Ein	5.9	Nein	24.75	13	9.758	12635	9.758	12635	Eingang	-0.0004	4	4.298	2.536	0.0089	2018-07-20
11.72227176	48.378134	HEINDLACKER	18/07/20-14:35:30	WEIZEN	39	1.25	210.2	1	443.06	2018-07-20	Ein	5.9	Nein	25.92	13.1	9.763	12641	9.763	12641	Eingang	-0.00057	4	4.5	2.655	0.0093	2018-07-20
11.72226332	48.37812439	HEINDLACKER	18/07/20-14:35:30	WEIZEN	40	1.25	211	1	443.15	2018-07-20	Ein	5.9	Nein	25.96	13.1	9.779	12662	9.779	12662	Eingang	-0.0006	4	4.5	2.655	0.0093	2018-07-20
11.72225382	48.37811388	HEINDLACKER	18/07/20-14:35:30	WEIZEN	41	1.389	210.1	1	443.23	2018-07-20	Ein	5.9	Nein	26.9	13.1	9.118	11806	9.118	11806	Eingang	-0.00021	4	5	2.95	0.0097	2018-07-20
11.72224439	48.37810309	HEINDLACKER	18/07/20-14:35:30	WEIZEN	42	1.444	206.9	1	443.26	2018-07-20	Ein	5.9	Nein	25.05	13.2	8.168	10575	8.168	10575	Eingang	-0.00072	4	5.198	3.067	0.009	2018-07-20
11.72223567	48.37809168	HEINDLACKER	18/07/20-14:35:30	WEIZEN	43	1.444	199.7	1	442.98	2018-07-20	Ein	5.9	Nein	25.89	12.8	8.442	10931	8.442	10931	Eingang	-0.0013	4	5.198	3.067	0.0093	2018-07-20
11.72222832	48.37807795	HEINDLACKER	18/07/20-14:35:30	WEIZEN	44	1.417	178	1	441.67	2018-07-20	Ein	5.9	Nein	23.55	12.8	7.824	10130	7.824	10130	Eingang	-0.0004	4	5.101	3.01	0.0085	2018-07-20
11.72210104	48.37796143	HEINDLACKER	18/07/20-14:35:30	WEIZEN	45	1.361	167.5	1	446.53	2018-07-20	Ein	5.9	Nein	24.49	13	8.472	10970	8.472	10970	Eingang	-0.00057	6	4.9	2.891	0.0088	2018-07-20
11.72210098	48.37796192	HEINDLACKER	18/07/20-14:35:30	WEIZEN	46	1.361	220.8	1	446.53	2018-07-20	Ein	5.9	Nein	24.08	12.9	8.331	10787	8.331	10787	Eingang	-0.0012	6	4.9	2.891	0.0087	2018-07-20
11.7220882	48.37795207	HEINDLACKER	18/07/20-14:35:30	WEIZEN	47	1.389	216.7	1	446.28	2018-07-20	Ein	5.9	Nein	24.25	12.9	8.221	10645	8.221	10645	Eingang	-0.00087	6	5	2.95	0.0087	2018-07-20
11.72207766	48.37794268	HEINDLACKER	18/07/20-14:35:30	WEIZEN	48	1.361	216.2	1	446.17	2018-07-20	Ein	5.9	Nein	24.87	13	8.605	11142	8.605	11142	Eingang	-0.00093	6	4.9	2.891	0.0089	2018-07-20
11.72206685	48.37793287	HEINDLACKER	18/07/20-14:35:30	WEIZEN	49	1.361	216.3	1	446.12	2018-07-20	Ein	5.9	Nein	25.39	13	8.782	11371	8.782	11371	Eingang	-0.00091	6	4.9	2.891	0.0091	2018-07-20
11.72205608	48.37792314	HEINDLACKER	18/07/20-14:35:30	WEIZEN	50	1.361	217.9	1	446.06	2018-07-20	Ein	5.9	Nein	25.32	13.1	8.76	11343	8.76	11343	Eingang	-0.00074	6	4.9	2.891	0.0091	2018-07-20
11.72204494	48.37791362	HEINDLACKER	18/07/20-14:35:30	WEIZEN	51	1.361	217.8	1	446.02	2018-07-20	Ein	5.9	Nein	25.61	12.7	8.86	11473	8.86	11473	Eingang	0.00018	6	4.9	2.891	0.0092	2018-07-20
11.72203415	48.3779044	HEINDLACKER	18/07/20-14:35:30	WEIZEN	52	1.361	214.5	1	445.89	2018-07-20	Ein	5.9	Nein	24.68	12.9	8.538	11055	8.538	11055	Eingang	-0.00069	6	4.9	2.891	0.0089	2018-07-20
11.72202319	48.37789384	HEINDLACKER	18/07/20-14:35:30	WEIZEN	53	1.361	213.1	1	445.79	2018-07-20	Ein	5.9	Nein	24.7	13	8.546	11065	8.546	11065	Eingang	-0.00039	6	4.9	2.891	0.0089	2018-07-20
11.72201333	48.37788378	HEINDLACKER	18/07/20-14:35:30	WEIZEN	54	1.361	216.3	1	445.73	2018-07-20	Ein	5.9	Nein	25.17	13	8.708	11275	8.708	11275	Eingang	-0.00028	6	4.9	2.891	0.0091	2018-07-20
11.72200214	48.37787369	HEINDLACKER	18/07/20-14:35:30	WEIZEN	55	1.361	217.6	1	445.68	2018-07-20	Ein	5.9	Nein	24.3	12.9	8.405	10883	8.405	10883	Eingang	-0.0011	6	4.9	2.891	0.0087	2018-07-20
11.72199096	48.37786404	HEINDLACKER	18/07/20-14:35:30	WEIZEN	56	1.361	213	1	445.66	2018-07-20	Ein	5.9	Nein	24.89	12.9	8.611	11150	8.611	11150	Eingang	-0.00039	6	4.9	2.891	0.009	2018-07-20
11.72198068	48.37785353	HEINDLACKER	18/07/20-14:35:30	WEIZEN	57	1.361	212.9	1	445.62	2018-07-20	Ein	5.9	Nein	24.66	13	8.531	11046	8.531	11046	Eingang	-0.001	6	4.9	2.891	0.0089	2018-07-20
11.72197029	48.37784288	HEINDLACKER	18/07/20-14:35:30	WEIZEN	58	1.361	215.9	1	445.63	2018-07-20	Ein	5.9	Nein	26.66	13	9.224	11943	9.224	11943	Eingang	-0.00064	6	4.9	2.891	0.0096	2018-07-20
11.72195937	48.37783287	HEINDLACKER	18/07/20-14:35:30	WEIZEN	59	1.361	214.6	1	445.66	2018-07-20	Ein	5.9	Nein	24.96	13	8.634	11180	8.634	11180	Eingang	-0.00068	6	4.9	2.891	0.009	2018-07-20
11.72194918	48.37782306	HEINDLACKER	18/07/20-14:35:30	WEIZEN	60	1.361	213.4	1	445.67	2018-07-20	Ein	5.9	Nein	26.11	12.8	9.031	11693	9.031	11693	Eingang	-0.00039	6	4.9	2.891	0.0094	2018-07-20
11.72193888	48.3778127	HEINDLACKER	18/07/20-14:35:30	WEIZEN	61	1.361	214.8	1	445.65	2018-07-20	Ein	5.9	Nein	26.28	13	9.091	11771	9.091	11771	Eingang	-0.00037	6	4.9	2.891	0.0095	2018-07-20
11.72192862	48.3778029	HEINDLACKER	18/07/20-14:35:30	WEIZEN	62	1.361	216.5	1	445.64	2018-07-20	Ein	5.9	Nein	27	13	9.342	12096	9.342	12096	Eingang	-0.00087	6	4.9	2.891	0.0097	2018-07-20
11.72191684	48.37779233	HEINDLACKER	18/07/20-14:35:30	WEIZEN	63	1.361	216.2	1	445.63	2018-07-20	Ein	5.9	Nein	26.15	13	9.047	11714	9.047	11714	Eingang	-0.00091	6	4.9	2.891	0.0094	2018-07-20
11.72190574	48.37778225	HEINDLACKER	18/07/20-14:35:30	WEIZEN	64	1.389	213.5	1	445.63	2018-07-20	Ein	5.9	Nein	27.13	12.8	9.196	11907	9.196	11907	Eingang	-0.001	6	5	2.95	0.0098	2018-07-20
11.7218957	48.37777218	HEINDLACKER	18/07/20-14:35:30	WEIZEN	65	1.361	212.7	1	445.63	2018-07-20	Ein	5.9	Nein	26.58	13	9.194	11905	9.194	11905	Eingang	-0.0007	6	4.9	2.891	0.0096	2018-07-20
11.72188635	48.37776249	HEINDLACKER	18/07/20-14:35:30	WEIZEN	66	1.361	215.9	1	445.63	2018-07-20	Ein	5.9	Nein	28.58	13	9.887	12802	9.887	12802	Eingang	-0.00031	6	4.9	2.891	0.01	2018-07-20
11.72187537	48.37775239	HEINDLACKER	18/07/20-14:35:30	WEIZEN	67	1.389	221.2	1	445.63	2018-07-20	Ein	5.9	Nein	26.81	13.1	9.089	11768	9.089	11768	Eingang	-0.0012	6	5	2.95	0.0096	2018-07-20
11.72186199	48.37774205	HEINDLACKER	18/07/20-14:35:30	WEIZEN	68	1.389	212.7	1	445.29	2018-07-20	Ein	5.9	Nein	28.05	12.9	9.507	12310	9.507	12310	Eingang	-0.001	6	5	2.95	0.01	2018-07-20
11.72185253	48.37773227	HEINDLACKER	18/07/20-14:35:30	WEIZEN	69	1.361	215.3	1	445.38	2018-07-20	Ein	5.9	Nein	26.71	13	9.238	11962	9.238	11962	Eingang	-0.00068	6	4.9	2.891	0.0096	2018-07-20
11.72184212	48.37772249	HEINDLACKER	18/07/20-14:35:30	WEIZEN	70	1.361	214.3	1	445.45	2018-07-20	Ein	5.9	Nein	26.71	13	9.238	11962	9.238	11962	Eingang	-0.00039	6	4.9	2.891	0.0096	2018-07-20
11.72183101	48.3777117	HEINDLACKER	18/07/20-14:35:30	WEIZEN	71	1.417	212.7	1	445.54	2018-07-20	Ein	5.9	Nein	28.32	13	9.411	12186	9.411	12186	Eingang	-0.00069	6	5.101	3.01	0.01	2018-07-20
11.72182074	48.37770108	HEINDLACKER	18/07/20-14:35:30	WEIZEN	72	1.417	215.3	1	445.59	2018-07-20	Ein	5.9	Nein	28.32	12.8	9.411	12185	9.411	12185	Eingang	-0.0013	6	5.101	3.01	0.01	2018-07-20
11.72180932	48.37769036	HEINDLACKER	18/07/20-14:35:30	WEIZEN	73	1.417	215.4	1	445.63	2018-07-20	Ein	5.9	Nein	27.43	13	9.114	11801	9.114	11801	Eingang	-0.00066	6	5.101	3.01	0.0099	2018-07-20
11.7217986	48.37768034	HEINDLACKER	18/07/20-14:35:30	WEIZEN	74	1.444	215	1	445.64	2018-07-20	Ein	5.9	Nein	28.22	13.1	9.201	11913	9.201	11913	Eingang	-0.00036	6	5.198	3.067	0.01	2018-07-20
11.72178716	48.37766951	HEINDLACKER	18/07/20-14:35:30	WEIZEN	75	1.472	212.7	1	445.64	2018-07-20	Ein	5.9	Nein	28.24	13.2	9.032	11695	9.032	11695	Eingang	-0.001	6	5.299	3.127	0.01	2018-07-20
11.7217768	48.37765876	HEINDLACKER	18/07/20-14:35:30	WEIZEN	76	1.472	213.2	1	445.65	2018-07-20	Ein	5.9	Nein	28.32	13	9.06	11730	9.06	11730	Eingang	-0.0007	6	5.299	3.127	0.01	2018-07-20
11.72176542	48.3776472	HEINDLACKER	18/07/20-14:35:30	WEIZEN	77	1.472	218	1	445.65	2018-07-20	Ein	5.9	Nein	28.26	12.9	9.039	11704	9.039	11704	Eingang	-0.0004	6	5.299	3.127	0.01	2018-07-20
11.72175314	48.37763676	HEINDLACKER	18/07/20-14:35:30	WEIZEN	78	1.472	217.4	1	445.64	2018-07-20	Ein	5.9	Nein	28.69	13.1	9.175	11880	9.175	11880	Eingang	-0.0015	6	5.299	3.127	0.01	2018-07-20
11.72174077	48.37762599	HEINDLACKER	18/07/20-14:35:30	WEIZEN	79	1.472	212.9	1	445.61	2018-07-20	Ein	5.9	Nein	28.62	13.2	9.155	11854	9.155	11854	Eingang	-0.00069	6	5.299	3.127	0.01	2018-07-20
11.72173002	48.37761492	HEINDLACKER	18/07/20-14:35:30	WEIZEN	80	1.472	210.9	1	445.63	2018-07-20	Ein	5.9	Nein	28.24	13	9.032	11695	9.032	11695	Eingang	7.651E-07	6	5.299	3.127	0.01	2018-07-20
11.72172047	48.37760433	HEINDLACKER	18/07/20-14:35:30	WEIZEN	81	1.389	213.4	1	445.65	2018-07-20	Ein	5.9	Nein	27.77	13	9.413	12188	9.413	12188	Eingang	-0.001	6	5	2.95	0.01	2018-07-20
11.72171012	48.37759391	HEINDLACKER	18/07/20-14:35:30	WEIZEN	82	1.417	215.3	1	445.65	2018-07-20	Ein	5.9	Nein	27.81	13.2	9.242	11966	9.242	11966	Eingang	-0.0013	6	5.101	3.01	0.01	2018-07-20
11.72169932	48.37758376	HEINDLACKER	18/07/20-14:35:30	WEIZEN	83	1.417	215.3	1	445.64	2018-07-20	Ein	5.9	Nein	27.77	13.2	9.228	11948	9.228	11948	Eingang	-0.00068	6	5.101	3.01	0.01	2018-07-20
11.72168825	48.37757335	HEINDLACKER	18/07/20-14:35:30	WEIZEN	84	1.389	213.2	1	445.64	2018-07-20	Ein	5.9	Nein	27.05	13.2	9.169	11872	9.169	11872	Eingang	-0.00008864	6	5	2.95	0.0097	2018-07-20
11.72167782	48.37756276	HEINDLACKER	18/07/20-14:35:30	WEIZEN	85	1.389	214.5	1	445.63	2018-07-20	Ein	5.9	Nein	27.64	13	9.37	12132	9.37	12132	Eingang	-0.00039	6	5	2.95	0.0099	2018-07-20
11.72166724	48.37755255	HEINDLACKER	18/07/20-14:35:30	WEIZEN	86	1.417	216.6	1	445.62	2018-07-20	Ein	5.9	Nein	26.5	13.2	8.804	11399	8.804	11399	Eingang	-0.00061	6	5.101	3.01	0.0095	2018-07-20
11.72165611	48.3775426	HEINDLACKER	18/07/20-14:35:30	WEIZEN	87	1.389	215.1	1	445.62	2018-07-20	Ein	5.9	Nein	27.6	13.2	9.356	12114	9.356	12114	Eingang	-0.00066	6	5	2.95	0.0099	2018-07-20
11.72164512	48.37753219	HEINDLACKER	18/07/20-14:35:30	WEIZEN	88	1.417	215.6	1	445.61	2018-07-20	Ein	5.9	Nein	27.6	13.2	9.171	11875	9.171	11875	Eingang	-0.0000106	6	5.101	3.01	0.0099	2018-07-20
11.72163399	48.37752188	HEINDLACKER	18/07/20-14:35:30	WEIZEN	89	1.417	215.6	1	445.62	2018-07-20	Ein	5.9	Nein	27.09	13	9.001	11654	9.001	11654	Eingang	-0.00066	6	5.101	3.01	0.0097	2018-07-20
11.7216231	48.3775118	HEINDLACKER	18/07/20-14:35:30	WEIZEN	90	1.389	213.5	1	445.63	2018-07-20	Ein	5.9	Nein	27.37	13.3	9.277	12012	9.277	12012	Eingang	-0.0013	6	5	2.95	0.0098	2018-07-20
11.72161303	48.3775017	HEINDLACKER	18/07/20-14:35:30	WEIZEN	91	1.389	216.2	1	445.64	2018-07-20	Ein	5.9	Nein	28.92	13.6	9.802	12692	9.791	12678	Eingang	-0.00064	6	5	2.95	0.01	2018-07-20
11.7216019	48.37749158	HEINDLACKER	18/07/20-14:35:30	WEIZEN	92	1.389	215.4	1	445.62	2018-07-20	Ein	5.9	Nein	27.94	13.6	9.472	12264	9.461	12250	Eingang	-0.00096	6	5	2.95	0.01	2018-07-20
11.72159075	48.37748115	HEINDLACKER	18/07/20-14:35:30	WEIZEN	93	1.389	212.1	1	445.61	2018-07-20	Ein	5.9	Nein	28.6	13.3	9.695	12553	9.695	12553	Eingang	-0.00069	6	5	2.95	0.01	2018-07-20
11.72158091	48.3774707	HEINDLACKER	18/07/20-14:35:30	WEIZEN	94	1.389	215.7	1	445.61	2018-07-20	Ein	5.9	Nein	27.48	14	9.314	12060	9.261	11991	Eingang	-0.00063	6	5	2.95	0.0099	2018-07-20
11.72156975	48.37746035	HEINDLACKER	18/07/20-14:35:30	WEIZEN	95	1.389	216.6	1	445.62	2018-07-20	Ein	5.9	Nein	30.01	14.2	10.17	13173	10.09	13066	Eingang	-0.00054	6	5	2.95	0.011	2018-07-20
11.72155861	48.3774504	HEINDLACKER	18/07/20-14:35:30	WEIZEN	96	1.361	213.9	1	445.64	2018-07-20	Ein	5.9	Nein	27.84	14.3	9.631	12470	9.542	12355	Eingang	-0.0007	6	4.9	2.891	0.01	2018-07-20
11.72154798	48.37743988	HEINDLACKER	18/07/20-14:35:30	WEIZEN	97	1.389	214.9	1	445.64	2018-07-20	Ein	5.9	Nein	29.18	13.2	9.889	12805	9.889	12805	Eingang	-0.00098	6	5	2.95	0.01	2018-07-20
11.72153753	48.37742993	HEINDLACKER	18/07/20-14:35:30	WEIZEN	98	1.389	215.3	1	445.63	2018-07-20	Ein	5.9	Nein	27.56	13	9.341	12095	9.341	12095	Eingang	-0.00066	6	5	2.95	0.0099	2018-07-20
11.72152699	48.37742005	HEINDLACKER	18/07/20-14:35:30	WEIZEN	99	1.389	214.7	1	445.64	2018-07-20	Ein	5.9	Nein	29.71	13.1	10.07	13039	10.07	13039	Eingang	-0.00069	6	5	2.95	0.011	2018-07-20
11.72151578	48.37740929	HEINDLACKER	18/07/20-14:35:30	WEIZEN	100	1.389	215.7	1	445.63	2018-07-20	Ein	5.9	Nein	28.45	13.2	9.644	12487	9.644	12487	Eingang	-0.00034	6	5	2.95	0.01	2018-07-20
11.72150523	48.37739955	HEINDLACKER	18/07/20-14:35:30	WEIZEN	101	1.361	216	1	445.62	2018-07-20	Ein	5.9	Nein	29.56	13	10.23	13240	10.23	13240	Eingang	-0.00063	6	4.9	2.891	0.011	2018-07-20
11.72149395	48.37738921	HEINDLACKER	18/07/20-14:35:30	WEIZEN	102	1.361	214.9	1	445.61	2018-07-20	Ein	5.9	Nein	29.01	13	10.03	12992	10.03	12992	Eingang	-0.00068	6	4.9	2.891	0.01	2018-07-20
11.72148378	48.37737952	HEINDLACKER	18/07/20-14:35:30	WEIZEN	103	1.361	215.5	1	445.6	2018-07-20	Ein	5.9	Nein	29.18	13.2	10.09	13068	10.09	13068	Eingang	-0.00096	6	4.9	2.891	0.01	2018-07-20
11.72147335	48.3773698	HEINDLACKER	18/07/20-14:35:30	WEIZEN	104	1.361	216.6	1	445.59	2018-07-20	Ein	5.9	Nein	27.18	13.2	9.401	12173	9.401	12173	Eingang	-0.00024	6	4.9	2.891	0.0098	2018-07-20
11.72146191	48.37735957	HEINDLACKER	18/07/20-14:35:30	WEIZEN	105	1.361	216.3	1	445.59	2018-07-20	Ein	5.9	Nein	27.43	13	9.489	12286	9.489	12286	Eingang	-0.00087	6	4.9	2.891	0.0099	2018-07-20
11.72145115	48.37734984	HEINDLACKER	18/07/20-14:35:30	WEIZEN	106	1.361	215.7	1	445.59	2018-07-20	Ein	5.9	Nein	28.39	13.1	9.821	12716	9.821	12716	Eingang	-0.00093	6	4.9	2.891	0.01	2018-07-20
